ID,TITLE,CONTENTS,NEWSDAY,IMAGE,COMPANY
39,"외국인 33거래일째 '팔자'…또 떨어진 삼성전자 ""바닥은 어디""[핫종목]","삼성전자(005930)가 1%대 하락하며 5만6000원선도 무너졌다. 반면 SK하이닉스(000660)는 '20만닉스'를 탈환하며 강세를..
										 
|",2024-10-25 17:14:36,C:\gitmain\scrap\images2\외국인 33거래일째 '팔자'…또 떨어진 삼성전자 바닥은 어디[핫종목].png,뉴스1
40,"최윤범 고려아연 회장, 영풍 지분 전부 팔았다…동업 종료","최윤범 고려아연 회장을 비롯한 최 씨 일가가 갖고 있던 영풍 지분을 모두 매도했다. 25일 금융감독원 전자공시시스템에 따르면 최 회장은..
										 
|",2024-10-25 17:14:31,"C:\gitmain\scrap\images2\최윤범 고려아연 회장, 영풍 지분 전부 팔았다…동업 종료.png",아시아경제
41,"벤츠, 3분기 영업이익 48％↓…""중국 경기부진 영향""","독일 메르세데스 벤츠 그룹의 영업이익이 1년 전과 비교해 절반으로 줄었다. 중국 소비심리 위축이 영업이익 감소의 주된 원인으로 꼽힌다...
										 
|",2024-10-25 17:11:30,"C:\gitmain\scrap\images2\벤츠, 3분기 영업이익 48％↓…중국 경기부진 영향.png",아시아경제
42,"최윤범 고려아연 회장, 영풍 지분 전량 매도","최윤범 고려아연 회장을 포함한 최씨 일가가 영풍 지분을 모두 처분했다. 고려아연과 영풍 간 동업 관계가 사실상 끝나면서 보유 물량을 정..
										 
|",2024-10-25 17:09:13,"C:\gitmain\scrap\images2\최윤범 고려아연 회장, 영풍 지분 전량 매도.png",파이낸셜뉴스
43,"머신러닝으로 원자력 종목 선별…시총 상위 20종목 투자, 1년 수익률 74%[ETF줌인]","인공지능(AI) 데이터센터 수요 확대로 인한 전력수요 증가로 원자력 산업의 구조적 성장세가 나타나고 있다. 세계 각국의 온실가스 감축 ..
										 
|",2024-10-25 17:09:13,"C:\gitmain\scrap\images2\머신러닝으로 원자력 종목 선별…시총 상위 20종목 투자, 1년 수익률 74%[ETF줌인].png",서울경제
44,밸류업 ETN도 내달 4일 상장…'첫 주자' 삼성證,"코리아디스카운트(한국증시저평가) 해소를 목적으로 최근 한국거래소가 밸류업지수를 발표한 가운데, ETF(상장지수펀드) 뿐만 아니라 ETN..
										 
|",2024-10-25 17:04:46,C:\gitmain\scrap\images2\밸류업 ETN도 내달 4일 상장…'첫 주자' 삼성證.png,머니투데이
45,"환율 세 달 만에 1390원 터치... 최상목 ""원화 움직임 빠르다는 우려 인지""","환율이 세 달 만에 처음 장중 1,390원을 돌파했다. 외국인의 역외 달러 수요에 한국 증시 이탈까지 겹치면서 환율 상승 압력으로 작용..
										 
|",2024-10-25 17:02:16,C:\gitmain\scrap\images2\환율 세 달 만에 1390원 터치... 최상목 원화 움직임 빠르다는 우려 인지.png,한국일보
46,"부동산 공모펀드 모처럼 제대로 ‘엑시트’…KB자산운용, 센터플레이스 매각 성공","KB자산운용이 서울 중심 우량 오피스인 ‘센터플레이스’ 매각에 성공했다. 고금리로 직격탄을 맞은 부동산 시장에서 모처럼 엑시트(자금회수..
										 
|",2024-10-25 17:01:10,"C:\gitmain\scrap\images2\부동산 공모펀드 모처럼 제대로 ‘엑시트’…KB자산운용, 센터플레이스 매각 성공.png",매일경제
47,"최윤범 고려아연 회장家, 영풍 지분 전량 매도…75년 동업 끝","최창영 고려아연 명예회장도 전량 장내 매도 최윤범 고려아연 회장을 포함한 최씨 일가가 보유 중인 영풍 지분을 전량 매도했다. 이에 75..
										 
|",2024-10-25 17:00:13,"C:\gitmain\scrap\images2\최윤범 고려아연 회장家, 영풍 지분 전량 매도…75년 동업 끝.png",더팩트
48,"오늘도 1년 중 최저가… 삼성전자, ‘청산가치’ 밑으로","삼성전자가 연이틀 최근 1년 중 최저가를 찍었다. 주가가 ‘청산가치’로 불리는 주당순자산가치(BPS) 밑으로 떨어졌다. 삼성전자 주식은..
										 
|",2024-10-25 17:00:06,"C:\gitmain\scrap\images2\오늘도 1년 중 최저가… 삼성전자, ‘청산가치’ 밑으로.png",조선비즈
